timestamp,kind,frame,floor,details
1781184900.112,frame,1,1,"{""active_calls"": [], ""approaching_count"": 0, ""elevators"": {""Lift-1"": {""direction"": ""IDLE"", ""floor"": 1, ""status"": ""PARKED"", ""stops"": []}, ""Lift-2"": {""direction"": ""IDLE"", ""floor"": 10, ""status"": ""PARKED"", ""stops"": []}}, ""passing_count"": 1, ""people_detected"": 1, ""priority"": ""NORMAL"", ""source"": ""simulation"", ""waiting_count"": 0}"
1781184900.213,frame,2,1,"{""active_calls"": [], ""approaching_count"": 0, ""elevators"": {""Lift-1"": {""direction"": ""IDLE"", ""floor"": 1, ""status"": ""PARKED"", ""stops"": []}, ""Lift-2"": {""direction"": ""IDLE"", ""floor"": 10, ""status"": ""PARKED"", ""stops"": []}}, ""passing_count"": 0, ""people_detected"": 0, ""priority"": ""NORMAL"", ""source"": ""simulation"", ""waiting_count"": 0}"
1781184900.314,call_created,,1,"{""floor_id"": 1, ""people_count"": 1, ""priority"": ""NORMAL""}"
1781184900.314,call_assigned,,1,"{""assigned_lift_id"": ""Lift-1"", ""floor_id"": 1}"
1781184900.314,call_served,,1,"{""floor_id"": 1, ""lift_id"": ""Lift-1"", ""matched_request"": true}"
1781184900.314,frame,3,1,"{""active_calls"": [], ""approaching_count"": 1, ""elevators"": {""Lift-1"": {""direction"": ""IDLE"", ""floor"": 1, ""status"": ""DOORS_OPEN"", ""stops"": []}, ""Lift-2"": {""direction"": ""IDLE"", ""floor"": 10, ""status"": ""PARKED"", ""stops"": []}}, ""passing_count"": 0, ""people_detected"": 1, ""priority"": ""NORMAL"", ""source"": ""simulation"", ""waiting_count"": 0}"
1781184900.415,call_created,,1,"{""floor_id"": 1, ""people_count"": 1, ""priority"": ""NORMAL""}"
1781184900.415,call_assigned,,1,"{""assigned_lift_id"": ""Lift-1"", ""floor_id"": 1}"
1781184900.415,frame,4,1,"{""active_calls"": [1], ""approaching_count"": 1, ""elevators"": {""Lift-1"": {""direction"": ""IDLE"", ""floor"": 1, ""status"": ""DOORS_OPEN"", ""stops"": [1]}, ""Lift-2"": {""direction"": ""IDLE"", ""floor"": 10, ""status"": ""PARKED"", ""stops"": []}}, ""passing_count"": 0, ""people_detected"": 1, ""priority"": ""NORMAL"", ""source"": ""simulation"", ""waiting_count"": 0}"
1781184958.034,frame,1,1,"{""active_calls"": [], ""approaching_count"": 0, ""elevators"": {""Lift-1"": {""direction"": ""IDLE"", ""floor"": 1, ""status"": ""PARKED"", ""stops"": []}, ""Lift-2"": {""direction"": ""IDLE"", ""floor"": 10, ""status"": ""PARKED"", ""stops"": []}}, ""passing_count"": 0, ""people_detected"": 0, ""priority"": ""NORMAL"", ""source"": ""simulation"", ""waiting_count"": 0}"
1781184958.136,frame,2,1,"{""active_calls"": [], ""approaching_count"": 0, ""elevators"": {""Lift-1"": {""direction"": ""IDLE"", ""floor"": 1, ""status"": ""PARKED"", ""stops"": []}, ""Lift-2"": {""direction"": ""IDLE"", ""floor"": 10, ""status"": ""PARKED"", ""stops"": []}}, ""passing_count"": 0, ""people_detected"": 0, ""priority"": ""NORMAL"", ""source"": ""simulation"", ""waiting_count"": 0}"
1781184958.236,call_created,,1,"{""floor_id"": 1, ""people_count"": 1, ""priority"": ""NORMAL""}"
1781184958.236,call_assigned,,1,"{""assigned_lift_id"": ""Lift-1"", ""floor_id"": 1}"
1781184958.236,call_served,,1,"{""floor_id"": 1, ""lift_id"": ""Lift-1"", ""matched_request"": true}"
1781184958.236,frame,3,1,"{""active_calls"": [], ""approaching_count"": 1, ""elevators"": {""Lift-1"": {""direction"": ""IDLE"", ""floor"": 1, ""status"": ""DOORS_OPEN"", ""stops"": []}, ""Lift-2"": {""direction"": ""IDLE"", ""floor"": 10, ""status"": ""PARKED"", ""stops"": []}}, ""passing_count"": 0, ""people_detected"": 1, ""priority"": ""NORMAL"", ""source"": ""simulation"", ""waiting_count"": 0}"
1781184958.337,frame,4,1,"{""active_calls"": [], ""approaching_count"": 1, ""elevators"": {""Lift-1"": {""direction"": ""IDLE"", ""floor"": 1, ""status"": ""DOORS_OPEN"", ""stops"": []}, ""Lift-2"": {""direction"": ""IDLE"", ""floor"": 10, ""status"": ""PARKED"", ""stops"": []}}, ""passing_count"": 0, ""people_detected"": 1, ""priority"": ""NORMAL"", ""source"": ""simulation"", ""waiting_count"": 0}"
1781184958.438,frame,5,1,"{""active_calls"": [], ""approaching_count"": 0, ""elevators"": {""Lift-1"": {""direction"": ""IDLE"", ""floor"": 1, ""status"": ""PARKED"", ""stops"": []}, ""Lift-2"": {""direction"": ""IDLE"", ""floor"": 10, ""status"": ""PARKED"", ""stops"": []}}, ""passing_count"": 1, ""people_detected"": 1, ""priority"": ""NORMAL"", ""source"": ""simulation"", ""waiting_count"": 0}"
